Description,Description2
Repo rate,Repurchase rate: Rate at which the private (sector) banks borrow rands from the SA Reserve Bank

ValueDate,TheValue
2020-08-28,3.50
2020-08-27,3.50
2020-08-26,3.50
2020-08-25,3.50
2020-08-24,3.50
2020-08-22,3.50
2020-08-21,3.50
2020-08-20,3.50
2020-08-19,3.50
2020-08-18,3.50
2020-08-17,3.50
2020-08-15,3.50
2020-08-14,3.50
2020-08-13,3.50
2020-08-12,3.50
2020-08-11,3.50
2020-08-08,3.50
2020-08-07,3.50
2020-08-06,3.50
2020-08-05,3.50
2020-08-04,3.50
2020-08-03,3.50
2020-07-31,3.50
2020-07-30,3.50
2020-07-29,3.50
2020-07-28,3.50
2020-07-27,3.50
2020-07-25,3.50
2020-07-24,3.50
2020-07-23,3.75
2020-07-22,3.75
2020-07-21,3.75
2020-07-20,3.75
2020-07-17,3.75
2020-07-16,3.75
2020-07-15,3.75
2020-07-14,3.75
2020-07-13,3.75
2020-07-10,3.75
2020-07-09,3.75
2020-07-08,3.75
2020-07-07,3.75
2020-07-06,3.75
2020-07-03,3.75
2020-07-02,3.75
2020-07-01,3.75
2020-06-30,3.75
2020-06-29,3.75
2020-06-27,3.75
2020-06-26,3.75
2020-06-25,3.75
2020-06-24,3.75
2020-06-23,3.75
2020-06-22,3.75
2020-06-20,3.75
2020-06-19,3.75
2020-06-18,3.75
2020-06-17,3.75
2020-06-15,3.75
2020-06-13,3.75
2020-06-12,3.75
2020-06-11,3.75
2020-06-10,3.75
2020-06-09,3.75
2020-06-08,3.75
2020-06-05,3.75
2020-06-04,3.75
2020-06-03,3.75
2020-06-02,3.75
2020-06-01,3.75
2020-05-30,3.75
2020-05-29,3.75
2020-05-28,3.75
2020-05-27,3.75
2020-05-26,3.75
2020-05-25,3.75
2020-05-23,3.75
2020-05-22,3.75
2020-05-21,4.25
2020-05-20,4.25
2020-05-19,4.25
2020-05-18,4.25
2020-05-15,4.25
2020-05-14,4.25
2020-05-13,4.25
2020-05-12,4.25
2020-05-11,4.25
2020-05-09,4.25
2020-05-08,4.25
2020-05-07,4.25
2020-05-06,4.25
2020-05-05,4.25
2020-05-04,4.25
2020-04-30,4.25
2020-04-29,4.25
2020-04-28,4.25
2020-04-25,4.25
2020-04-24,4.25
2020-04-23,4.25
