time;open;high;low;close
2002-12-02T07:00:00Z;1265;1265;1201;1225
2003-01-02T07:00:00Z;1215;1465;1215;1311
2003-02-03T07:00:00Z;1310;1370;1224;1275
2003-03-03T07:00:00Z;1275;1300;1114;1198
2003-04-01T07:00:00Z;1198;1249;1150;1220
2003-05-01T07:00:00Z;1230;1500;1215;1370
2003-06-02T07:00:00Z;1400;1640;1350;1628.0001
2003-07-01T07:00:00Z;1610;1726;1590;1650
2003-08-01T07:00:00Z;1645.0001;1870.0001;1629.9999;1815
2003-09-01T07:00:00Z;1820.0001;2040;1685;1990
2003-10-01T07:00:00Z;1990;2470;1945.0001;2470
2003-11-03T07:00:00Z;2470;2600;2280;2599
2003-12-01T07:00:00Z;2600;2950;2600;2857.6799
2004-01-02T07:00:00Z;2802;3280;2590;2985
2004-02-02T07:00:00Z;3000;3140;2760;2975
2004-03-01T07:00:00Z;2980;3400;2980;3296
2004-04-01T07:00:00Z;3290.0002;3646;2825;2910
2004-05-03T07:00:00Z;2915;3050;2500;3050
2004-06-01T07:00:00Z;3055;3300;2731;2850
2004-07-01T07:00:00Z;2910;3000;2630;2690
2004-08-02T07:00:00Z;2690;3120;2625;3060
2004-09-01T07:00:00Z;3060;3290;2770;3086.2
2004-10-01T07:00:00Z;3070;3395;3035;3347
2004-11-01T07:00:00Z;3350;4400;3180;4013.53
2004-12-01T07:00:00Z;4001;4450;3810;4350
2005-01-03T07:00:00Z;4350;4560;4025;4480
2005-02-01T07:00:00Z;4490;4780;4235;4696.4199
2005-03-01T07:00:00Z;4770;5030;4130;4479.9502
2005-04-01T07:00:00Z;4420;4535;4100;4319.75
2005-05-03T07:00:00Z;4341;4890;4144.1499;4485
2005-06-01T07:00:00Z;4501;4760;4212;4422.25
2005-07-01T07:00:00Z;4494;5070;4260;4638
2005-08-01T07:00:00Z;4645;5025;4520;4641.1001
2005-09-01T07:00:00Z;4640;5300;4224.98;5250
2005-10-03T07:00:00Z;5200;5360;4520;4992
2005-11-01T07:00:00Z;5050;6190;4965;5400
2005-12-01T07:00:00Z;5485;6400;5410;6215
2006-01-03T07:00:00Z;6234;6500;5695;6410
2006-02-01T07:00:00Z;6315;6550;5625;6000
2006-03-01T07:00:00Z;6150;10485.65;5305;6202.0801
2006-04-03T07:00:00Z;6200;6290;5740;5980
2006-05-02T07:00:00Z;6000;6950;5301;5578.1699
2006-06-01T07:00:00Z;5590;5900;4951;5305.2998
2006-07-03T07:00:00Z;5430;5550;4830;5300
2006-08-01T07:00:00Z;5350;6055;4902;5930
2006-09-01T07:00:00Z;5839;6345;5313;6295.5098
2006-10-02T07:00:00Z;6299;6800;6106;6650
2006-11-01T07:00:00Z;6725;7580;6725;7281.8999
2006-12-01T07:00:00Z;7204;8770;7204;8465
2007-01-02T07:00:00Z;8500;8700;7885;8559.4404
2007-02-01T07:00:00Z;8700;9546;8430;8800
2007-03-01T07:00:00Z;8869;9925;8310;9600
2007-04-02T07:00:00Z;9800;10795;9550;10375
2007-05-02T07:00:00Z;10449;10560;9560;9780
2007-06-01T07:00:00Z;9706;10000;9060;9640
2007-07-02T07:00:00Z;9800;10770;9566;10135
2007-08-01T07:00:00Z;9800;10998;8950;10880
2007-09-03T07:00:00Z;10877;11475;10161;10450
2007-10-01T07:00:00Z;10451;13000;10281;12625
2007-11-01T07:00:00Z;12700;13800;11870;13760
2007-12-03T07:00:00Z;13700;14250;11300;12806
2008-01-02T07:00:00Z;12990;13319;10010;11750
2008-02-01T07:00:00Z;11811;13150;10818;12400
2008-03-03T07:00:00Z;11958;13730;11625;12300
2008-04-01T07:00:00Z;12400;14690;12305;14450
2008-05-02T07:00:00Z;14610;16500;13951;15219
2008-06-02T07:00:00Z;15300;15480;12055;12450
2008-07-01T07:00:00Z;12470;13678;11122;12680
2008-08-01T07:00:00Z;12590;12800;10852;11864
2008-09-01T07:00:00Z;11725;12550;10030;11500
2008-10-01T07:00:00Z;11340;11490;7325;10900
2008-11-03T07:00:00Z;11112;11800;9470;10460
2008-12-01T07:00:00Z;10305;11200;8920;10850
2009-01-02T07:00:00Z;10980;11748;9135;9800
2009-02-02T07:00:00Z;9895;10100;8181;8600
2009-03-02T07:00:00Z;8484;11347;8216;10500
2009-04-01T07:00:00Z;10550;11499;10000;11100
2009-05-04T07:00:00Z;11245;13600;10502;11535
2009-06-01T07:00:00Z;11765;12690;11526;11831
2009-07-01T07:00:00Z;11964;13325;11686;12800
2009-08-03T07:00:00Z;12909;13433;12356;12750
2009-09-01T07:00:00Z;12851;13100;11900;12215
2009-10-01T07:00:00Z;12400;13345;11549;11750
2009-11-02T07:00:00Z;11650;12150;11200;11880
2009-12-01T07:00:00Z;11890;12090;10852;11790
2010-01-04T07:00:00Z;11752;11840;10482;10945
2010-02-01T07:00:00Z;10849;11341;10700;11190
2010-03-01T07:00:00Z;11150;12499;11104;11200
2010-04-01T07:00:00Z;11107;11419;10571;10932
2010-05-03T07:00:00Z;10925;11000;9502;10795
2010-06-01T07:00:00Z;10738;11493;9822;10100
2010-07-01T07:00:00Z;10100;12000;10001;11695
2010-08-02T07:00:00Z;11738;12386;11300;12050
2010-09-01T07:00:00Z;11990;12644;11918;12600
2010-10-01T07:00:00Z;12515;13074;12100;12600
2010-11-01T07:00:00Z;12600;13305;12110;12110
2010-12-01T07:00:00Z;12284;13490;12250;13442
2011-01-03T07:00:00Z;13440;13495;12252;12300
2011-02-01T07:00:00Z;12420;13261;11700;12290
2011-03-01T07:00:00Z;12320;14055;12100;13657
2011-04-01T07:00:00Z;13550;14599;13010;14599
2011-05-02T07:00:00Z;14475;14597;13640;14475
2011-06-01T07:00:00Z;14400;14539;13263;14390
2011-07-01T07:00:00Z;14339;14736;13805;14490
2011-08-01T07:00:00Z;14550;14799;12850;14424
2011-09-01T07:00:00Z;14374;14688;12665;13250
2011-10-03T07:00:00Z;12980;14176;12770;13852
2011-11-01T07:00:00Z;13749;14538;13356;14538
2011-12-01T07:00:00Z;14435;14670;13555;14373
2012-01-03T07:00:00Z;14450;14548;12841;13320
2012-02-01T07:00:00Z;13244;13840;13110;13530
2012-03-01T07:00:00Z;13384;14539;13156;13502
2012-04-02T07:00:00Z;13380;13646;12700;13589
2012-05-02T07:00:00Z;13600;13694;13082;13446
2012-06-01T07:00:00Z;13446;14345;13225;14092
2012-07-02T07:00:00Z;14100;15685;14022;14898
2012-08-01T07:00:00Z;15050;15974;15000;15700
2012-09-03T07:00:00Z;15700;16389;15300;16021
2012-10-01T07:00:00Z;16100;16347;14944;15634
2012-11-01T07:00:00Z;15625;17267;15501;16363
2012-12-03T07:00:00Z;16458;17955;16380;17760
2013-01-01T07:00:00Z;17700;18219;17211;17510
2013-02-01T07:00:00Z;17640;18445;17312;17559
2013-03-01T07:00:00Z;17617;18245;15901;16148
2013-04-02T07:00:00Z;16210;16939;15679;16178
2013-05-02T07:00:00Z;16250;18590;16033;18280
2013-06-03T07:00:00Z;18180;18400;16277;18400
2013-07-01T07:00:00Z;18310;19089;17438;18525
2013-08-01T07:00:00Z;18627;20090;18526;18785
2013-09-02T07:00:00Z;18415;19888;17650;19600
2013-10-01T07:00:00Z;19571;20498;18790;19954
2013-11-01T07:00:00Z;19926;20234;18906;19828
2013-12-02T07:00:00Z;19826;21975;19001;21702
2014-01-02T07:00:00Z;21780;21995;19350;19749
2014-02-03T07:00:00Z;19600;20350;19048;19690
2014-03-03T07:00:00Z;19574;21980;19431;21555
2014-04-01T07:00:00Z;21435;22049;20653;21081
2014-05-02T07:00:00Z;21299;22732;21203;22306
2014-06-02T07:00:00Z;22389;23535;22250;22399
2014-07-01T07:00:00Z;22515;22873;21800;22240
2014-08-01T07:00:00Z;22126;24980;21528;24104
2014-09-01T07:00:00Z;24298;26344;23559;23832
2014-10-01T07:00:00Z;23765;24710;23016;24400
2014-11-03T07:00:00Z;24400;24744;21548;21817
2014-12-01T07:00:00Z;21410;22739;20453;22141
2015-01-02T07:00:00Z;22145;22288;19800;20207
2015-02-02T07:00:00Z;20450;21832;20310;20664
2015-03-02T07:00:00Z;20710;22661;20100;20500
2015-04-01T07:00:00Z;20700;25000;20700;23900
2015-05-04T07:00:00Z;24014;24429;21500;21522
2015-06-01T07:00:00Z;21620;23178;21110;22875
2015-07-01T07:00:00Z;22927;23732;19981;21100
2015-08-03T07:00:00Z;21000;21200;16110;17697
2015-09-01T07:00:00Z;17500;18620;16126;17800
2015-10-01T07:00:00Z;18000;19295;15042;15780
2015-11-02T07:00:00Z;15500;16449;13201;14516
2015-12-01T07:00:00Z;14510;15000;12304;13289
2016-01-04T07:00:00Z;13200;13978;10956;13950
2016-02-01T07:00:00Z;14000;15647;12278;13380
2016-03-01T07:00:00Z;13400;15274;12529;13520
2016-04-01T07:00:00Z;13350;15190;12419;14906
2016-05-03T07:00:00Z;15010;15100;12250;12250
2016-06-01T07:00:00Z;12200;15170;11991;14292
2016-07-01T07:00:00Z;14488;15150;13600;14028
2016-08-01T07:00:00Z;14195;14338;11826;12020
2016-09-01T07:00:00Z;11952;12740;11300;11746
2016-10-03T07:00:00Z;11741;11861;10476;11637
2016-11-01T07:00:00Z;11650;12075;10951;11320
2016-12-01T07:00:00Z;11375;12746;11025;12617
2017-01-03T07:00:00Z;12631;13495;12314;12547
2017-02-01T07:00:00Z;12560;12750;11000;11979
2017-03-01T07:00:00Z;12000;13049;11606;12200
2017-04-03T07:00:00Z;12200;12929;12057;12650
2017-05-02T07:00:00Z;12651;13000;11629;11750
2017-06-01T07:00:00Z;11755;11896;10905;11410
2017-07-03T07:00:00Z;11385;12723;11277;11849
2017-08-01T07:00:00Z;11805;12923;11424;12923
2017-09-01T07:00:00Z;12986;12986;11937;12438
2017-10-02T07:00:00Z;12438;12959;12059;12277
2017-11-01T07:00:00Z;12290;13300;12236;12927
2017-12-01T07:00:00Z;12927;13724;12215;13660
2018-01-02T07:00:00Z;13596;14000;12927;13140
2018-02-01T07:00:00Z;13060;13376;11805;12850
2018-03-01T07:00:00Z;12820;13800;11358;11902
2018-04-03T07:00:00Z;11865;12547;11063;12524
2018-05-01T07:00:00Z;12490;13300;11125;11450
2018-06-01T07:00:00Z;11450;11987;10201;10790
2018-07-02T07:00:00Z;10633;11573;10371;11450
2018-08-01T07:00:00Z;11400;11483;8061;8899
2018-09-03T07:00:00Z;8906;9036;6907;8758
2018-10-01T07:00:00Z;8800;9080;7800;8550
2018-11-01T07:00:00Z;8550;9183;7950;8738
2018-12-03T07:00:00Z;8900;9300;8160;8900
2019-01-02T07:00:00Z;8850;8852;8210;8703
2019-02-01T07:00:00Z;8689;8929;8171;8352
2019-03-01T07:00:00Z;8199;9730;7505;8862
2019-04-01T07:00:00Z;8857;10647;8857;10337
2019-05-02T07:00:00Z;10219;10639;9568;10264
2019-06-03T07:00:00Z;10300;11123;10117;10675
2019-07-01T07:00:00Z;10692;11378;10109;11273
2019-08-01T07:00:00Z;11273;11445;9801;10259
2019-09-02T07:00:00Z;10205;10534;9485;9630
2019-10-01T07:00:00Z;9630;9708;9082;9359
2019-11-01T07:00:00Z;9073;10111;9073;9237
2019-12-02T07:00:00Z;9254;9299;8222;8249
2020-01-02T07:00:00Z;8221;8508;7876;8079
2020-02-03T07:00:00Z;8100;8978;7300;7370
2020-03-02T07:00:00Z;7610;7950;2625;4839
2020-04-01T07:00:00Z;4460;5825;4200;4861
2020-05-04T07:00:00Z;4620;5835;4411;5390
2020-06-01T07:00:00Z;5525;6062;4971;5283
2020-07-01T07:00:00Z;5284;6726;5216;5914
2020-08-03T07:00:00Z;5900;6942;5599;6290
