time;open;high;low;close
2009-05-04T07:00:00Z;5950;6495;4995;5200
2009-06-01T07:00:00Z;5251;5770;5151;5720
2009-07-01T07:00:00Z;5800;5949;5355;5870
2009-08-03T07:00:00Z;5900;5944;5453;5760
2009-09-01T07:00:00Z;5762;5866;5256;5615
2009-10-01T07:00:00Z;5510;5650;5205;5440
2009-11-02T07:00:00Z;5410;6028;5102;5700
2009-12-01T07:00:00Z;5725;5800;5278;5649
2010-01-04T07:00:00Z;5507;5798;5225;5450
2010-02-01T07:00:00Z;5428;5550;5253;5375
2010-03-01T07:00:00Z;5400;5790;5350;5560
2010-04-01T07:00:00Z;5557;5718;5340;5670
2010-05-03T07:00:00Z;5643;6310;5005;6210
2010-06-01T07:00:00Z;6160;6450;5800;5850
2010-07-01T07:00:00Z;5949;6395;5783;6200
2010-08-02T07:00:00Z;5951;6350;5822;6169
2010-09-01T07:00:00Z;6161;6968;6021;6925
2010-10-01T07:00:00Z;6878;7006;6551;6730
2010-11-01T07:00:00Z;6687;7360;6601;6650
2010-12-01T07:00:00Z;6690;7780;6690;7648
2011-01-03T07:00:00Z;7700;7900;6902;7000
2011-02-01T07:00:00Z;7000;7824;7000;7490
2011-03-01T07:00:00Z;7490;8025;7060;7938
2011-04-01T07:00:00Z;7920;8070;7466;8030
2011-05-02T07:00:00Z;8030;8388;7750;8350
2011-06-01T07:00:00Z;8350;8600;8166;8395
2011-07-01T07:00:00Z;8400;8938;8211;8506
2011-08-01T07:00:00Z;8600;9178;8013;9040
2011-09-01T07:00:00Z;8990;9350;8550;9036
2011-10-03T07:00:00Z;9065;9350;8530;8990
2011-11-01T07:00:00Z;8968;9260;8725;9140
2011-12-01T07:00:00Z;9188;9208;8661;8900
2012-01-03T07:00:00Z;8911;9705;8823;9635
2012-02-01T07:00:00Z;9600;10472;9586;10350
2012-03-01T07:00:00Z;10170;10950;10151;10815
2012-04-02T07:00:00Z;11000;11089;10589;10810
2012-05-02T07:00:00Z;10820;10974;9952;10150
2012-06-01T07:00:00Z;10177;10337;9178;9290
2012-07-02T07:00:00Z;9225;9873;8901;9600
2012-08-01T07:00:00Z;9600;10710;9550;10698
2012-09-03T07:00:00Z;10666;11222;10144;10210
2012-10-01T07:00:00Z;10210;10965;9885;10930
2012-11-01T07:00:00Z;10850;12249;10811;11900
2012-12-03T07:00:00Z;11887;12537;11585;12400
2013-01-01T07:00:00Z;12620;12988;11970;12477
2013-02-01T07:00:00Z;12500;12521;11260;11915
2013-03-01T07:00:00Z;11900;12345;10900;10990
2013-04-02T07:00:00Z;11110;11263;10350;10521
2013-05-02T07:00:00Z;10500;11698;10410;11205
2013-06-03T07:00:00Z;11250;11443;10066;10502
2013-07-01T07:00:00Z;10523;11799;10334;11671
2013-08-01T07:00:00Z;11799;12391;11357;11606
2013-09-02T07:00:00Z;11652;12846;11226;12445
2013-10-01T07:00:00Z;12450;12975;11146;11500
2013-11-01T07:00:00Z;11500;12950;11451;12182
2013-12-02T07:00:00Z;12195;13433;11680;13300
2014-01-02T07:00:00Z;13349;13421;11510;11738
2014-02-03T07:00:00Z;11750;12226;11450;11958
2014-03-03T07:00:00Z;11825;13371;11750;12999
2014-04-01T07:00:00Z;12845;13977;12056;12545
2014-05-02T07:00:00Z;12659;13271;12411;12832
2014-06-02T07:00:00Z;12900;13554;12503;13145
2014-07-01T07:00:00Z;13145;13273;12380;12552
2014-08-01T07:00:00Z;12500;13123;12320;12835
2014-09-01T07:00:00Z;12810;13540;12552;13000
2014-10-01T07:00:00Z;12900;13459;12150;13383
2014-11-03T07:00:00Z;13380;13777;12504;13297
2014-12-01T07:00:00Z;13245;13770;12101;12843
2015-01-02T07:00:00Z;12800;13800;12163;13438
2015-02-02T07:00:00Z;13300;13993;12900;13580
2015-03-02T07:00:00Z;13596;13995;12745;13269
2015-04-01T07:00:00Z;13161;15654;13133;14829
2015-05-04T07:00:00Z;14950;15078;13125;13362
2015-06-01T07:00:00Z;13442;13900;12700;13870
2015-07-01T07:00:00Z;13900;14724;13450;14656
2015-08-03T07:00:00Z;14433;14731;13624;14149
2015-09-01T07:00:00Z;13948;14365;13242;13750
2015-10-01T07:00:00Z;13806;15234;13710;14979
2015-11-02T07:00:00Z;14979;15186;14500;14600
2015-12-01T07:00:00Z;14610;15435;13500;15241
2016-01-04T07:00:00Z;14955;15239;13500;14524
2016-02-01T07:00:00Z;14411;15447;14350;15031
2016-03-01T07:00:00Z;15029;16179;14357;16053
2016-04-01T07:00:00Z;15999;17055;15746;16550
2016-05-03T07:00:00Z;16500;16884;15975;16440
